7	俺は腰に下げていた布を湿らせて固く絞ると、力を込めてイバラの肌に残った触手の粘液をぬぐった。
9	べったりとした粘着質のそれをこそぎ落とすには真っ白な肌が真っ赤になるくらいに力を籠めなくてはならなかった。
15	【イバラ】「いたたた。そんなに力いっぱいこするな！　擦り切れちゃうだろ！」
17	「じゃあ、このベタベタが残ってた方がいいのか？」
23	【イバラ】「そ、そんなことは言ってないだろ！？　だけど、擦るにしてももっと優しく丁重に扱えって言ってるんだ！」
25	「こんなにべっとりついてるのに、そんなこと言ってたら落ちないぞ」
27	とりあえず、俺も局部や手足に粘液が残っているが、皮膚が溶けたり、かぶれたりは今のところしていない。
29	なので、イバラを優先して目立つところの粘液を拭い取ってやる。
31	布に付着した粘液は水で洗えば落ちていくから、何度も水に浸して布を洗い、綺麗になった布で体中を拭き清めていく。
37	【イバラ】「痛いっ！　痛いからもういい！　ボクは自分で体を洗うから、もういいよ！」
39	イバラは俺を振り払って、服を脱ぐと泉に飛び込んだ。
45	【イバラ】「あーいたたたた。皮がむけちゃうかと思っただろ？　ばーかばーか」
47	そのまま嫌そうな顔でざぶざぶと触手が触れたところを丁寧に洗い流していく。
53	【イバラ】「あれ？　見ろこれ、ベタベタは水に溶けるぞ！　ほら！」
55	「え？　あ、本当だ」
61	【イバラ】「見ろ！　あんなにごしごしこすって痛くしなくったって落ちるんじゃないか。ニンゲンの馬鹿者め！　ほら、ニンゲンも早く洗ってしまえ！」
63	「う、うん。わかった……」
65	俺もイバラに続いて泉に入り、手首や局部にまとわりつく粘液を丁寧に洗い流した。
67	空気中では粘ついていたのが、水中ではあっさり水に溶けて流されていく。
73	【イバラ】「あーもう。さっきごしごしされたところ真っ赤になっちゃったぞ！」
75	「ご、ごめん……」
77	俺だって悪気があったわけじゃなくて、綺麗にしてやろうと思っただけなのに。
79	即効の毒性はなくても、何か変な毒があったら困るだろうと思ってイバラを拭くのを優先してやったんだぞ。
85	【イバラ】「初めから洗ってたら話は早かったんだ」
87	イバラはぷんすかしながら体を洗い終えると陸に上がった。
89	「はいはい、すみませんね」
91	俺も体を洗い終えて陸へと上がる。
93	服も洗って絞ると、ぽたぽたと水が滴り落ちた。
95	これで粘液が全部落ちてればいいけど、乾いたらまだ残ってたりしたら嫌だなぁ。
101	【イバラ】「はふぅ……あんな触手に弄り回されるなんて、本当に嫌な目に遭った」
103	唇を尖らせるイバラの顔はまだほんのり上気しているみたいに見える。
105	「あんな風に奥まで犯されて本当は気持ちよかったんじゃないの？」
111	【イバラ】「ば、バカ言うな！　あんなの気持ちよくなんか無い！」
113	上気した表情が色っぽくて、思わずからかうとイバラは不機嫌そうに地べたに寝っ転がった。
